,Titles,Tv,Ep,SD,Ed,Ratings,Genres,Source,Demographic,Producers
157,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,13 eps,Apr 2022, Jun 2022,9.01,"['Comedy', 'Romance', 'School', 'Seinen']",Manga,Seinen,"['Aniplex', 'Mainichi Broadcasting System', 'Magic Capsule', 'Shueisha', 'JR East Marketing & Communications']"
158,Gintama.,TV,12 eps,Jan 2017, Mar 2017,8.98,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']"
159,Fruits Basket: The Final,TV,13 eps,Apr 2021, Jun 2021,8.97,"['Drama', 'Romance', 'Supernatural', 'Shoujo']",Manga,Shoujo,"['TV Tokyo', 'TV Osaka', 'Nihon Ad Systems', 'Hakusensha', 'Avex Pictures', 'TMS Music', '8PAN']"
160,Monogatari Series: Off & Monster Season,,,Jul 2024,,8.97,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",Light novel,Not specified,"['Aniplex', 'Kodansha', 'Rakuonsha']"
161,Koe no Katachi,Movie,,Sep 2016, Sep 2016,8.93,"['Award Winning', 'Drama', 'Romantic Subtext', 'Shounen']",Manga,Shounen,"['Shochiku', 'Pony Canyon', 'Kodansha', 'ABC Animation', 'Quaras']"
162,Clannad: After Story,TV,24 eps,Oct 2008, Mar 2009,8.93,"['Drama', 'Romance', 'Supernatural']",Drama,Not specified,"['Pony Canyon', 'TBS', 'Rakuonsha', 'Animation Do']"
163,Gintama,TV,,Apr 2006, Mar 2010,8.93,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Audio Highs', 'Miracle Robo', 'Shueisha']"
164,3-gatsu no Lion 2nd Season,TV,22 eps,Oct 2017, Mar 2018,8.92,"['Drama', 'Childcare', 'Strategy Game', 'Seinen']",Manga,Seinen,"['Aniplex', 'Dentsu', 'NHK', 'Hakusensha', 'Asmik Ace', ""Toy's Factory""]"
165,Code Geass: Hangyaku no Lelouch R2,TV,25 eps,Apr 2008, Sep 2008,8.91,"['Action', 'Award Winning', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'Super Power']",Action,Not specified,"['Bandai Visual', 'Mainichi Broadcasting System', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']"
166,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,,Jul 2013, Jul 2013,8.90,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Time Travel', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Bandai', 'Warner Bros. Japan', 'Shueisha']"
167,Kusuriya no Hitorigoto,TV,24 eps,Oct 2023, Mar 2024,8.90,"['Drama', 'Mystery', 'Historical', 'Medical']",Light novel,Not specified,"['Dentsu', 'Square Enix', 'Nippon Television Network', 'TOHO animation', 'Shogakukan', 'Imagica Infos']"
168,Shingeki no Kyojin: The Final Season - Kanketsu-hen,TV,,Mar 2023, Nov 2023,8.89,"['Action', 'Drama', 'Suspense', 'Gore', 'Military', 'Survival', 'Shounen']",Manga,Shounen,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprises']"
169,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,14 eps,Jul 2018, Oct 2018,8.88,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']"
170,Monster,TV,74 eps,Apr 2004, Sep 2005,8.88,"['Drama', 'Mystery', 'Suspense', 'Adult Cast', 'Psychological', 'Seinen']",Manga,Seinen,"['VAP', 'Shogakukan-Shueisha Productions', 'Nippon Television Network']"
171,Owarimonogatari 2nd Season,TV,,Aug 2017, Aug 2017,8.87,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",Light novel,Not specified,"['Aniplex', 'Kodansha']"
172,Violet Evergarden Movie,Movie,,Sep 2020, Sep 2020,8.86,"['Award Winning', 'Drama', 'Fantasy']",Light novel,Not specified,"['Shochiku', 'ABC Animation']"
173,Kimi no Na wa.,Movie,,Aug 2016, Aug 2016,8.84,"['Award Winning', 'Drama', 'Supernatural', 'Romantic Subtext']",Award Winning,Not specified,"['TOHO', 'Sound Team Don Juan', 'Lawson HMV Entertainment', 'Amuse', 'JR East Marketing & Communications', 'Kadokawa', 'voque ting']"
174,Boku no Kokoro no Yabai Yatsu 2nd Season,TV,13 eps,Jan 2024, Mar 2024,8.83,"['Comedy', 'Romance', 'School', 'Shounen']",Manga,Shounen,"['Dentsu', 'TV Asahi', 'Movic', 'Magic Capsule', 'Avex Pictures', 'Akita Shoten', 'BS Asahi', 'TV Asahi Music']"
175,Jujutsu Kaisen 2nd Season,TV,23 eps,Jul 2023, Dec 2023,8.82,"['Action', 'Fantasy', 'Gore', 'School', 'Shounen']",Manga,Shounen,"['Mainichi Broadcasting System', 'TOHO animation', 'Shueisha', 'dugout', 'Sumzap']"
176,Kingdom 3rd Season,TV,26 eps,Apr 2020, Oct 2021,8.82,"['Action', 'Historical', 'Military', 'Seinen']",Manga,Seinen,['Shueisha']
177,Vinland Saga Season 2,TV,24 eps,Jan 2023, Jun 2023,8.81,"['Action', 'Adventure', 'Drama', 'Gore', 'Historical', 'Seinen']",Manga,Seinen,"['Dentsu', 'Kodansha', 'Twin Engine']"
178,Gintama.: Shirogane no Tamashii-hen,TV,12 eps,Jan 2018, Mar 2018,8.81,"['Action', 'Comedy', 'Sci-Fi', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Shounen']",Manga,Shounen,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']"
179,Mob Psycho 100 II,TV,13 eps,Jan 2019, Apr 2019,8.79,"['Action', 'Comedy', 'Supernatural', 'Super Power']",Web manga,Not specified,"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']"
180,Kizumonogatari III: Reiketsu-hen,Movie,,Jan 2017, Jan 2017,8.78,"['Action', 'Mystery', 'Supernatural', 'Vampire']",Light novel,Not specified,"['Aniplex', 'Kodansha']"
181,Bocchi the Rock!,TV,12 eps,Oct 2022, Dec 2022,8.78,"['Comedy', 'CGDCT', 'Music']",4-koma manga,Not specified,"['Aniplex', 'Houbunsha']"
182,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10 eps,Oct 2016, Dec 2016,8.78,"['Sports', 'School', 'Team Sports', 'Shounen']",Manga,Shounen,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'Sony Music Entertainment', 'TOHO animation', 'Shueisha']"
183,Shingeki no Kyojin: The Final Season,TV,16 eps,Dec 2020, Mar 2021,8.78,"['Action', 'Drama', 'Suspense', 'Gore', 'Military', 'Survival', 'Shounen']",Manga,Shounen,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprises']"
184,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie,,Dec 2022, Dec 2022,8.77,"['Comedy', 'Drama', 'Romance', 'School', 'Seinen']",Manga,Seinen,"['Aniplex', 'Mainichi Broadcasting System', 'Shueisha', 'JR East Marketing & Communications']"
